id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2016-0001,1,1/1/2016,4:00:00,AVENIDA,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO
2016-0002,1,1/2/2016,1:15:00,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2016-0003,1,1/3/2016,7:00:00,AVENIDA,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO
2016-0004,1,1/10/2016,0:00:00,AVENIDA,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,AUTO
2016-0005,1,1/21/2016,5:20:00,AVENIDA,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.62246630,MOTO,PASAJEROS
2016-0008,1,1/24/2016,18:30:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
2016-0009,1,1/24/2016,19:10:00,CALLE,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,MOTO,AUTO
2016-0010,1,1/29/2016,15:20:00,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
2016-0012,1,2/8/2016,1:20:00,AVENIDA,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS
2016-0013,1,2/10/2016,11:30:00,AVENIDA,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO
2016-0015,1,2/14/2016,5:14:00,AVENIDA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,PEATON,AUTO
2016-0016,1,2/14/2016,22:00:00,AVENIDA,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO
2016-0017,1,2/15/2016,16:54:00,AVENIDA,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO
2016-0019,1,2/17/2016,9:30:00,CALLE,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS
2016-0020,1,2/17/2016,16:00:00,CALLE,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO
2016-0021,1,2/17/2016,23:35:00,AVENIDA,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO
2016-0022,1,2/21/2016,6:00:00,AVENIDA,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO
2016-0025,1,2/28/2016,4:50:00,GRAL PAZ,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO
2016-0026,1,2/28/2016,7:30:00,CALLE,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO
2016-0027,1,2/28/2016,9:35:00,AVENIDA,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO
2016-0028,1,3/2/2016,10:00:00,AVENIDA,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS
2016-0029,1,3/4/2016,17:30:00,AVENIDA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS
